,ratios,policy_loss1,policy_loss2,policy_loss,value_loss,loss_hist,grad_norm_hist
87,1.0009657144546509,0.00017775906599126756,0.0001874449517345056,-0.000158607421326451,1.4231597185134888,0.14828751981258392,0.044549982994794846
88,1.0011377334594727,0.00019966231775470078,0.00021308514988049865,-0.00016435777070000768,1.422282338142395,0.14806242287158966,0.08216016739606857
89,1.0008747577667236,0.0002078720717690885,0.00022606243146583438,-0.00018873375665862113,1.422173261642456,0.14801077544689178,0.12673120200634003
90,1.0005308389663696,0.00021424054284580052,0.00023829637211747468,-0.00019969440472777933,1.4212716817855835,0.14777441322803497,0.13774193823337555
91,1.0002388954162598,0.00022367715428117663,0.000261840526945889,-0.00020755692094098777,1.4193203449249268,0.14727874100208282,0.11030074208974838
92,1.000081181526184,0.0002382177481194958,0.0002933208888862282,-0.0002170975785702467,1.4174631834030151,0.14680488407611847,0.057988084852695465
93,1.0000901222229004,0.00025778781855478883,0.0003228579298593104,-0.0002342758816666901,1.416770100593567,0.1466144472360611,0.034145813435316086
94,1.0002520084381104,0.00028058080351911485,0.00034534797305241227,-0.0002572507655713707,1.4170078039169312,0.14665089547634125,0.07343596965074539
95,1.0005100965499878,0.0003051886160392314,0.00036629638634622097,-0.00027760781813412905,1.417046308517456,0.14664016664028168,0.09674137085676193
96,1.0003294944763184,1.008927483781008e-05,-2.1791840481455438e-05,0.0005522855208255351,1.3744287490844727,0.1373758465051651,0.48240742087364197
97,1.0002539157867432,1.0903519068961032e-05,-6.142093980088248e-07,0.00042178365401923656,1.3602412939071655,0.1336984783411026,0.38584163784980774
98,1.0002351999282837,1.062453338818159e-05,1.5443918528035283e-05,0.00029127151356078684,1.3440778255462646,0.12952707707881927,0.2330884486436844
99,1.0002734661102295,9.266082997783087e-06,1.9803628674708307e-05,0.00016643926210235804,1.334649682044983,0.12704522907733917,0.07648787647485733
100,1.0003381967544556,7.693737643421628e-06,1.6571953892707825e-05,7.075630855979398e-05,1.334665298461914,0.12695343792438507,0.11874233186244965
101,1.0003992319107056,6.578341526619624e-06,1.0894742445088923e-05,2.1425548766274005e-05,1.340761661529541,0.12842820584774017,0.2335614562034607
102,1.0004390478134155,5.961100214335602e-06,7.3297669587191194e-06,5.263017555989791e-06,1.3464542627334595,0.12983520328998566,0.30154696106910706
103,1.0004609823226929,5.625336598313879e-06,4.729656666313531e-06,2.469589389875182e-06,1.3471503257751465,0.13000641763210297,0.3193170428276062
104,1.000470519065857,5.561053512792569e-06,3.5712328099180013e-06,1.917862846312346e-06,1.3423908948898315,0.12881599366664886,0.29025089740753174
105,1.000470757484436,5.723729373130482e-06,3.611311058193678e-06,6.095278308748675e-07,1.3348053693771362,0.12691830098628998,0.2214362770318985
106,1.000464677810669,5.946666988165816e-06,4.131476998736616e-06,-1.1766626357712084e-06,1.3280900716781616,0.12523771822452545,0.12358812242746353
107,1.0004550218582153,6.217327154445229e-06,4.732975867227651e-06,-2.7787216367869405e-06,1.325014352798462,0.12446717917919159,0.035342175513505936
108,1.0001392364501953,1.191063074656995e-05,-1.800871359591838e-06,1.3223867426859215e-05,1.3798458576202393,0.13794228434562683,0.4741087853908539
109,0.9999862909317017,1.1678022929118015e-05,8.084443834377453e-06,-1.016870896819455e-06,1.3803248405456543,0.13804778456687927,0.4921216070652008
110,0.999821662902832,1.1278778401901945e-05,2.4241748178610578e-05,-4.625484507414512e-06,1.3695106506347656,0.1353406310081482,0.41440168023109436
111,0.9997124671936035,1.085803160094656e-05,3.8191210478544235e-05,2.777335794235114e-06,1.3552725315093994,0.1317884922027588,0.27342844009399414
112,0.9997221827507019,1.0203782039752696e-05,3.266334897489287e-05,-9.96447738543793e-07,1.3454447984695435,0.12932780385017395,0.10461421310901642
113,0.9998007416725159,9.620413038646802e-06,1.8945194824482314e-05,-7.133202416298445e-06,1.3440440893173218,0.12897148728370667,0.09400336444377899
114,0.9998852014541626,9.376729394716676e-06,1.1164043826283887e-05,-8.489792890031822e-06,1.3493423461914062,0.13029468059539795,0.23308315873146057
115,0.9999526739120483,9.510105883236974e-06,9.241607585863676e-06,-8.644339686725289e-06,1.3554668426513672,0.13182565569877625,0.3247908651828766
116,0.9999982714653015,9.952290383807849e-06,9.38975608733017e-06,-8.977725883596577e-06,1.3569283485412598,0.13219070434570312,0.35230907797813416
117,1.0000230073928833,1.0606413525238167e-05,1.0074521924252622e-05,-9.723493349156342e-06,1.3525991439819336,0.1311076581478119,0.31668779253959656
118,1.0000308752059937,1.1450175406935159e-05,1.1054318747483194e-05,-1.0803647455759346e-05,1.345401644706726,0.12930718064308167,0.22920024394989014
119,1.0000272989273071,1.237915512319887e-05,1.2132085430494044e-05,-1.1979975170106627e-05,1.3394932746887207,0.1278289258480072,0.11202626675367355
120,0.9994755387306213,3.897135320585221e-05,3.888653009198606e-05,-3.86764295399189e-05,1.3626493215560913,0.13367176055908203,0.12319869548082352
121,0.9994537234306335,3.954275598516688e-05,3.949573147110641e-05,-3.93305963370949e-05,1.360842227935791,0.13321933150291443,0.07350500673055649
122,0.9994137287139893,4.117134085390717e-05,4.114989496883936e-05,-4.102046295884065e-05,1.3629668951034546,0.1337488293647766,0.18443726003170013
123,0.9993589520454407,4.3635667680064216e-05,4.363100742921233e-05,-4.352763789938763e-05,1.3659355640411377,0.13448846340179443,0.2679544985294342
124,0.9992919564247131,4.685246312874369e-05,4.685683234129101e-05,-4.677210017689504e-05,1.3665229082107544,0.13463208079338074,0.29454562067985535
125,0.9992141723632812,5.064333890913986e-05,5.0650571211008355e-05,-5.058057649875991e-05,1.363808512687683,0.1339496672153473,0.2641381025314331
126,0.9991259574890137,5.483604400069453e-05,5.484258508658968e-05,-5.478463936015032e-05,1.3593525886535645,0.13283148407936096,0.19083592295646667
127,0.9990273118019104,5.93628610658925e-05,5.936684101470746e-05,-5.9318990679457784e-05,1.355533480644226,0.13187217712402344,0.09718611091375351
128,0.998915433883667,6.438109267037362e-05,6.434660463128239e-05,-6.4296335040126e-05,1.3537743091583252,0.13142740726470947,0.040912602096796036
129,0.998791515827179,6.970143294893205e-05,6.929406663402915e-05,-6.883842434035614e-05,1.3538868427276611,0.13145098090171814,0.09921953827142715
130,0.9986734390258789,7.534000906161964e-05,7.402869232464582e-05,-7.179242675192654e-05,1.3546133041381836,0.13162964582443237,0.14999979734420776
131,0.9986093640327454,8.051414624787867e-05,7.766244380036369e-05,-7.308181375265121e-05,1.3546878099441528,0.131646990776062,0.17071561515331268
132,0.9996166825294495,-1.684781273070257e-05,-2.0670997400884517e-05,2.462315751472488e-05,1.2964568138122559,0.1174594908952713,0.2188650518655777
133,0.9995918869972229,-1.6458992831758223e-05,-1.9108820197288878e-05,2.2403595721698366e-05,1.2944327592849731,0.11695127189159393,0.19208285212516785
134,0.9995585083961487,-1.562571560498327e-05,-1.72204636328388e-05,1.9756118490477093e-05,1.2914671897888184,0.11620722711086273,0.14472003281116486
135,0.9995241165161133,-1.4592919796996284e-05,-1.5595760487485677e-05,1.759594670147635e-05,1.2887157201766968,0.11551718413829803,0.08743797242641449
136,0.9994915127754211,-1.3465450138028245e-05,-1.3964101526653394e-05,1.568357583892066e-05,1.286928653717041,0.11506851017475128,0.038330525159835815
